LECROYMCM-Zi-A 70631 Waveform
Segments 1 SegmentSize 40002
Segment TrigTime TimeSinceSegment1
#1 25-Jan-2024 10:03:40 0                 
Time Ampl
1.8541268e-007 -0.0166199
1.8542518e-007 -0.0547974
1.8543768e-007 -0.10097
1.8545018e-007 -0.0695068
1.8546268e-007 -0.0151489
1.8547518e-007 0.0133606
1.8548768e-007 0.0247009
1.8550018e-007 0.0291321
1.8551268e-007 0.0444702
1.8552518e-007 0.0534058
1.8553768e-007 0.0609924
1.8555018e-007 0.054718
1.8556268e-007 0.0287659
1.8557518e-007 -0.00145264
1.8558768e-007 -0.00477295
1.8560018e-007 -0.0568481
1.8561268e-007 -0.128961
1.8562518e-007 -0.0888123
1.8563768e-007 -0.0246216
1.8565018e-007 0.0101196
1.8566268e-007 0.0372559
1.8567518e-007 0.058783
1.8568768e-007 0.0700806
1.8570018e-007 0.0574036
1.8571268e-007 0.0373413
1.8572518e-007 0.0199646
1.8573768e-007 0.0122253
1.8575018e-007 -0.0771729
1.8576268e-007 -0.141949
1.8577518e-007 -0.0752625
1.8578768e-007 -0.00413818
1.8580018e-007 0.0311401
1.8581268e-007 0.037439
1.8582518e-007 0.00472412
1.8583768e-007 -0.0424011
1.8585018e-007 -0.0369324
1.8586268e-007 -0.000531006
1.8587518e-007 0.0279541
1.8588768e-007 0.0502747
1.8590018e-007 0.0377869
1.8591268e-007 -0.0226379
1.8592518e-007 -0.0523376
1.8593768e-007 -0.0242188
1.8595018e-007 0.0171814
1.8596268e-007 0.0167908
1.8597518e-007 -0.033551
1.8598768e-007 -0.0690552
1.8600018e-007 -0.0463806
1.8601268e-007 -0.00623169
1.8602518e-007 0.0141785
1.8603768e-007 0.0360046
1.8605018e-007 0.0519897
1.8606268e-007 0.0615173
1.8607518e-007 0.0436218
1.8608768e-007 0.026178
1.8610018e-007 0.0284058
1.8611268e-007 0.00917969
1.8612518e-007 -0.11134
1.8613768e-007 -0.147272
1.8615018e-007 -0.0434448
1.8616268e-007 0.0128784
1.8617518e-007 0.0322449
1.8618768e-007 -0.0263245
1.8620018e-007 -0.0664673
1.8621268e-007 -0.0384888
1.8622518e-007 -0.00899658
1.8623768e-007 0.0102844
1.8625018e-007 0.017926
1.8626268e-007 0.0250183
1.8627518e-007 0.0312927
1.8628768e-007 0.0400391
1.8630018e-007 0.0517334
1.8631268e-007 0.0555725
1.8632518e-007 0.0272217
1.8633768e-007 0.00548096
1.8635018e-007 0.0144714
1.8636268e-007 -0.0872925
1.8637518e-007 -0.170923
1.8638768e-007 -0.0821411
1.8640018e-007 0.00384521
1.8641268e-007 0.0454651
1.8642518e-007 0.0394897
1.8643768e-007 -0.0186523
1.8645018e-007 -0.0569641
1.8646268e-007 -0.0240356
1.8647518e-007 0.0214111
1.8648768e-007 0.051001
1.8650018e-007 0.0324524
1.8651268e-007 -0.0519226
1.8652518e-007 -0.077594
1.8653768e-007 -0.0152039
1.8655018e-007 0.0323853
1.8656268e-007 0.0405823
1.8657518e-007 -0.0213867
1.8658768e-007 -0.0851379
1.8660018e-007 -0.0481079
1.8661268e-007 0.00324097
1.8662518e-007 0.0424805
1.8663768e-007 0.0587158
1.8665018e-007 0.0239502
1.8666268e-007 -0.034021
1.8667518e-007 -0.0284058
1.8668768e-007 0.0211365
1.8670018e-007 -0.00496216
1.8671268e-007 -0.0898804
1.8672518e-007 -0.091748
1.8673768e-007 -0.0354675
1.8675018e-007 0.00215454
1.8676268e-007 0.0186646
1.8677518e-007 0.0195618
1.8678768e-007 0.0200378
1.8680018e-007 0.0265381
1.8681268e-007 0.0354736
1.8682518e-007 0.0491394
1.8683768e-007 0.0539001
1.8685018e-007 0.0301941
1.8686268e-007 0.0106689
1.8687518e-007 0.0235596
1.8688768e-007 -0.0503052
1.8690018e-007 -0.167249
1.8691268e-007 -0.102039
1.8692518e-007 -0.00982666
1.8693768e-007 0.0357483
1.8695018e-007 0.0567627
1.8696268e-007 0.00181885
1.8697518e-007 -0.0510437
1.8698768e-007 -0.0357178
1.8700018e-007 0.0175232
1.8701268e-007 0.0488647
1.8702518e-007 0.020105
1.8703768e-007 -0.0615112
1.8705018e-007 -0.0725647
1.8706268e-007 -0.0155823
1.8707518e-007 0.028772
1.8708768e-007 0.0570923
1.8710018e-007 0.0243164
1.8711268e-007 -0.0502869
1.8712518e-007 -0.0536438
1.8713768e-007 0.00142822
1.8715018e-007 0.0408325
